id,class_code,class_name,ddd,u,adm_r,note,valid_start_date,valid_end_date,change_type
2743,C05BA01,organo-heparinoid,,,T,,1970-01-01,2099-12-31,
2744,C05BA02,sodium apolate,,,T,,1970-01-01,2099-12-31,
2745,C05BA03,heparin,,,T,,1970-01-01,2099-12-31,
2746,C05BA04,pentosan polysulfate sodium,,,T,,1970-01-01,2099-12-31,
2747,C05BA51,"heparinoid, combinations",,,T,,1970-01-01,2099-12-31,
2748,C05BA53,"heparin, combinations",,,T,,1970-01-01,2099-12-31,
2749,C05BB,Sclerosing agents for local injection,,,P,,1970-01-01,2099-12-31,
2750,C05BB01,monoethanolamine oleate,,,,,1970-01-01,2099-12-31,
2751,C05BB02,polidocanol,,,,,1970-01-01,2099-12-31,
2752,C05BB03,invert sugar,,,,,1970-01-01,2099-12-31,
2753,C05BB04,sodium tetradecyl sulfate,,,,,1970-01-01,2099-12-31,
2754,C05BB05,phenol,,,,,1970-01-01,2099-12-31,
2755,C05BB56,"glucose, combinations",,,,,1970-01-01,2099-12-31,
2756,C05BX,Other sclerosing agents,,,,,1970-01-01,2099-12-31,
2757,C05BX01,calcium dobesilate,,,,,1970-01-01,2099-12-31,
2758,C05BX51,"calcium dobesilate, combinations",,,,,1970-01-01,2099-12-31,
2759,C05C,CAPILLARY STABILIZING AGENTS,,,,,1970-01-01,2099-12-31,
2760,C05CA,Bioflavonoids,,,,,1970-01-01,2099-12-31,
2761,C05CA01,rutoside,,,,,1970-01-01,2099-12-31,
2762,C05CA02,monoxerutin,,,,,1970-01-01,2099-12-31,
2763,C05CA03,diosmin,,,,,1970-01-01,2099-12-31,
2764,C05CA04,troxerutin,,,,,1970-01-01,2099-12-31,
2765,C05CA05,hidrosmin,,,,,1970-01-01,2099-12-31,
2766,C05CA51,"rutoside, combinations",,,,,1970-01-01,2099-12-31,
2767,C05CA53,"diosmin, combinations",,,,,1970-01-01,2099-12-31,
2768,C05CA54,"troxerutin, combinations",,,,,1970-01-01,2099-12-31,
2769,C05CX,Other capillary stabilizing agents,,,,,1970-01-01,2099-12-31,
2770,C05CX01,tribenoside,,,,,1970-01-01,2099-12-31,
2771,C05CX02,naftazone,,,,,1970-01-01,2099-12-31,
2772,C05CX03,hippocastani semen,,,,,1970-01-01,2099-12-31,
2773,C07,BETA BLOCKING AGENTS,,,,,1970-01-01,2099-12-31,
2774,C07A,BETA BLOCKING AGENTS,,,,,1970-01-01,2099-12-31,
2775,C07AA,"Beta blocking agents, non-selective",,,,,1970-01-01,2099-12-31,
2776,C07AA01,alprenolol,0.4,g,O,,1970-01-01,2099-12-31,
2777,C07AA01,alprenolol,0.4,g,P,,1970-01-01,2099-12-31,
2778,C07AA02,oxprenolol,0.16,g,O,,1970-01-01,2099-12-31,
2779,C07AA02,oxprenolol,0.16,g,P,,1970-01-01,2099-12-31,
2780,C07AA03,pindolol,15,mg,O,,1970-01-01,2099-12-31,
2781,C07AA03,pindolol,15,mg,P,,1970-01-01,2099-12-31,
2782,C07AA05,propranolol,0.16,g,O,,1970-01-01,2099-12-31,
2783,C07AA05,propranolol,0.16,g,P,,1970-01-01,2099-12-31,
2784,C07AA06,timolol,20,mg,O,,1970-01-01,2099-12-31,
2785,C07AA06,timolol,20,mg,P,,1970-01-01,2099-12-31,
2786,C07AA07,sotalol,0.16,g,O,,1970-01-01,2099-12-31,
2787,C07AA07,sotalol,0.16,g,P,,1970-01-01,2099-12-31,
2788,C07AA12,nadolol,0.16,g,O,,1970-01-01,2099-12-31,
2789,C07AA14,mepindolol,5,mg,O,,1970-01-01,2099-12-31,
2790,C07AA15,carteolol,10,mg,O,,1970-01-01,2099-12-31,
2791,C07AA16,tertatolol,5,mg,O,,1970-01-01,2099-12-31,
2792,C07AA17,bopindolol,,,,,1970-01-01,2099-12-31,
2793,C07AA19,bupranolol,,,,,1970-01-01,2099-12-31,
2794,C07AA23,penbutolol,40,mg,O,,1970-01-01,2099-12-31,
2795,C07AA27,cloranolol,,,,,1970-01-01,2099-12-31,
2796,C07AA57,"sotalol, combinations",,,,"from ATC website|ATC level name changed from: sotalol, combinations",1970-01-01,2017-08-07,U
2797,C07AB,"Beta blocking agents, selective",,,,,1970-01-01,2099-12-31,
2798,C07AB01,practolol,0.3,g,O,,1970-01-01,2099-12-31,
2799,C07AB01,practolol,20,mg,P,,1970-01-01,2099-12-31,
2800,C07AB02,metoprolol,0.15,g,O,,1970-01-01,2099-12-31,
2801,C07AB02,metoprolol,0.15,g,P,,1970-01-01,2099-12-31,
2802,C07AB03,atenolol,75,mg,O,,1970-01-01,2099-12-31,
2803,C07AB03,atenolol,75,mg,P,,1970-01-01,2099-12-31,
2804,C07AB04,acebutolol,0.4,g,O,,1970-01-01,2099-12-31,
2805,C07AB04,acebutolol,0.4,g,P,,1970-01-01,2099-12-31,
2806,C07AB05,betaxolol,20,mg,O,,1970-01-01,2099-12-31,
2807,C07AB06,bevantolol,0.3,g,O,,1970-01-01,2099-12-31,
2808,C07AB07,bisoprolol,10,mg,O,,1970-01-01,2099-12-31,
2809,C07AB08,celiprolol,0.2,g,O,,1970-01-01,2099-12-31,
2810,C07AB09,esmolol,2.5,g,P,,1970-01-01,2099-12-31,
2811,C07AB10,epanolol,0.2,g,O,,1970-01-01,2099-12-31,
2812,C07AB11,s-atenolol,50,mg,O,,1970-01-01,2099-12-31,
2813,C07AB12,nebivolol,5,mg,O,,1970-01-01,2099-12-31,
2814,C07AB13,talinolol,0.1,g,O,,1970-01-01,2099-12-31,
2815,C07AB14,landiolol,,,,,2017-08-07,2099-12-31,
2816,C07AB52,"metoprolol, combinations",,,,"from ATC website|ATC level name changed from: metoprolol, combinations",1970-01-01,2017-08-07,U
2817,C07AB57,"bisoprolol, combinations",,,,"from ATC website|ATC level name changed from: bisoprolol, combinations",1970-01-01,2017-08-07,U
2818,C07AG,Alpha and beta blocking agents,,,,,1970-01-01,2099-12-31,
2819,C07AG01,labetalol,0.6,g,O,,1970-01-01,2099-12-31,
2820,C07AG01,labetalol,0.6,g,P,,1970-01-01,2099-12-31,
2821,C07AG02,carvedilol,37.5,mg,O,,1970-01-01,2099-12-31,
2822,C07B,BETA BLOCKING AGENTS AND THIAZIDES,,,,,1970-01-01,2099-12-31,
2823,C07BA,"Beta blocking agents, non-selective, and thiazides",,,,,1970-01-01,2099-12-31,
2824,C07BA02,oxprenolol and thiazides,,,,,1970-01-01,2099-12-31,
2825,C07BA05,propranolol and thiazides,,,,,1970-01-01,2099-12-31,
2826,C07BA06,timolol and thiazides,,,,,1970-01-01,2099-12-31,
2827,C07BA07,sotalol and thiazides,,,,,1970-01-01,2099-12-31,
2828,C07BA12,nadolol and thiazides,,,,,1970-01-01,2099-12-31,
2829,C07BA68,"metipranolol and thiazides, combinations",,,,,1970-01-01,2099-12-31,
2830,C07BB,"Beta blocking agents, selective, and thiazides",,,,,1970-01-01,2099-12-31,
2831,C07BB02,metoprolol and thiazides,,,,,1970-01-01,2099-12-31,
2832,C07BB03,atenolol and thiazides,,,,,1970-01-01,2099-12-31,
2833,C07BB04,acebutolol and thiazides,,,,,1970-01-01,2099-12-31,
2834,C07BB06,bevantolol and thiazides,,,,,1970-01-01,2099-12-31,
2835,C07BB07,bisoprolol and thiazides,,,,,1970-01-01,2099-12-31,
2836,C07BB12,nebivolol and thiazides,,,,,1970-01-01,2099-12-31,
2837,C07BB52,"metoprolol and thiazides, combinations",,,,,1970-01-01,2099-12-31,
2838,C07BG,Alpha and beta blocking agents and thiazides,,,,,1970-01-01,2099-12-31,
2839,C07BG01,labetalol and thiazides,,,,,1970-01-01,2099-12-31,
2840,C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,,,,,1970-01-01,2099-12-31,
2841,C07CA,"Beta blocking agents, non-selective, and other diuretics",,,,,1970-01-01,2099-12-31,
2842,C07CA02,oxprenolol and other diuretics,,,,,1970-01-01,2099-12-31,
2843,C07CA03,pindolol and other diuretics,,,,,1970-01-01,2099-12-31,
2844,C07CA17,bopindolol and other diuretics,,,,,1970-01-01,2099-12-31,
2845,C07CA23,penbutolol and other diuretics,,,,,1970-01-01,2099-12-31,
2846,C07CB,"Beta blocking agents, selective, and other diuretics",,,,,1970-01-01,2099-12-31,
2847,C07CB02,metoprolol and other diuretics,,,,,1970-01-01,2099-12-31,
2848,C07CB03,atenolol and other diuretics,,,,,1970-01-01,2099-12-31,
2849,C07CB53,"atenolol and other diuretics, combinations",,,,,1970-01-01,2099-12-31,
2850,C07CG,Alpha and beta blocking agents and other diuretics,,,,,1970-01-01,2099-12-31,
2851,C07CG01,labetalol and other diuretics,,,,,1970-01-01,2099-12-31,
2852,C07D,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",,,,,1970-01-01,2099-12-31,
2853,C07DA,"Beta blocking agents, non-selective, thiazides and other diuretics",,,,,1970-01-01,2099-12-31,
2854,C07DA06,"timolol, thiazides and other diuretics",,,,,1970-01-01,2099-12-31,
2855,C07DB,"Beta blocking agents, selective, thiazides and other diuretics",,,,,1970-01-01,2099-12-31,
2856,C07DB01,"atenolol, thiazides and other diuretics",,,,,1970-01-01,2099-12-31,
2857,C07E,BETA BLOCKING AGENTS AND VASODILATORS,,,,,1970-01-01,2099-12-31,
2858,C07EA,"Beta blocking agents, non-selective, and vasodilators",,,,,1970-01-01,2099-12-31,
2859,C07EB,"Beta blocking agents, selective, and vasodilators",,,,,1970-01-01,2099-12-31,
2860,C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",,,,,1970-01-01,2099-12-31,
2861,C07FA,"Beta blocking agents, non-selective, and other antihypertensives",,,,added from devv5,1970-01-01,2017-08-06,D
2862,C07FA05,propranolol and other antihypertensives,,,,from ATC website|ATC level name changed from: propranolol and other antihypertensives,1970-01-01,2017-08-07,U
2863,C07FB,Beta blocking agents and calcium channel blockers,,,,,1970-01-01,2099-12-31,
2864,C07FB02,metoprolol and felodipine,,,,,2017-08-07,2099-12-31,C
2865,C07FB03,atenolol and nifedipine,,,,,1970-01-01,2099-12-31,
2866,C07FB07,bisoprolol and amlodipine,,,,,1970-01-01,2099-12-31,
2867,C07FB12,nebivolol and amlodipine,,,,,2015-03-02,2099-12-31,
2868,C07FB13,metoprolol and amlodipine,,,,,2017-08-07,2099-12-31,
2869,C07FX,"Beta blocking agents, other combinations",,,,,2017-08-07,2099-12-31,
2870,C07FX01,propranolol and other combinations,,,,,2017-08-07,2099-12-31,
2871,C07FX02,sotalol and acetylsalicylic acid,,,,,2017-08-07,2099-12-31,
2872,C07FX03,metoprolol and acetylsalicylic acid,,,,,2017-08-07,2099-12-31,
2873,C07FX04,bisoprolol and acetylsalicylic acid,,,,,2017-08-07,2099-12-31,
2874,C07FX05,metoprolol and ivabradine,,,,,2017-08-07,2099-12-31,
2875,C07FX06,carvedilol and ivabradine,,,,,2017-08-07,2099-12-31,
2876,C08,CALCIUM CHANNEL BLOCKERS,,,,,1970-01-01,2099-12-31,
2877,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,,,,,1970-01-01,2099-12-31,
2878,C08CA,Dihydropyridine derivatives,,,,,1970-01-01,2099-12-31,
2879,C08CA01,amlodipine,5,mg,O,,1970-01-01,2099-12-31,
2880,C08CA02,felodipine,5,mg,O,,1970-01-01,2099-12-31,
2881,C08CA03,isradipine,5,mg,O,,1970-01-01,2099-12-31,
2882,C08CA03,isradipine,5,mg,P,,1970-01-01,2099-12-31,
2883,C08CA04,nicardipine,90,mg,O,,1970-01-01,2099-12-31,
2884,C08CA04,nicardipine,90,mg,P,,1970-01-01,2099-12-31,
2885,C08CA05,nifedipine,30,mg,O,,1970-01-01,2099-12-31,
2886,C08CA05,nifedipine,30,mg,P,,1970-01-01,2099-12-31,
2887,C08CA06,nimodipine,0.3,g,O,,1970-01-01,2099-12-31,
2888,C08CA06,nimodipine,50,mg,P,,1970-01-01,2099-12-31,
2889,C08CA07,nisoldipine,20,mg,O,,1970-01-01,2099-12-31,
2890,C08CA08,nitrendipine,20,mg,O,,1970-01-01,2099-12-31,
2891,C08CA09,lacidipine,4,mg,O,,1970-01-01,2099-12-31,
2892,C08CA10,nilvadipine,8,mg,O,,1970-01-01,2099-12-31,
2893,C08CA11,manidipine,10,mg,O,,1970-01-01,2099-12-31,
2894,C08CA12,barnidipine,10,mg,O,,1970-01-01,2099-12-31,
2895,C08CA13,lercanidipine,10,mg,O,,1970-01-01,2099-12-31,
2896,C08CA14,cilnidipine,10,mg,O,,1970-01-01,2099-12-31,
2897,C08CA15,benidipine,,,,,1970-01-01,2099-12-31,
2898,C08CA16,clevidipine,,,,,1970-01-01,2099-12-31,
2899,C08CA17,levamlodipine,,,,,2021-02-22,2099-12-31,
2900,C08CA51,amlodipine and celecoxib,,,,,2020-05-04,2099-12-31,
2901,C08CA55,"nifedipine, combinations",,,,,1970-01-01,2099-12-31,
2902,C08CX,Other selective calcium channel blockers with mainly vascular effects,,,,,1970-01-01,2099-12-31,
2903,C08CX01,mibefradil,75,mg,O,,1970-01-01,2099-12-31,
2904,C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,,,,,1970-01-01,2099-12-31,
2905,C08DA,Phenylalkylamine derivatives,,,,,1970-01-01,2099-12-31,
2906,C08DA01,verapamil,0.24,g,O,,1970-01-01,2099-12-31,
2907,C08DA01,verapamil,0.24,g,P,,1970-01-01,2099-12-31,
2908,C08DA02,gallopamil,,,,,1970-01-01,2099-12-31,
2909,C08DA51,"verapamil, combinations",,,,,1970-01-01,2099-12-31,
2910,C08DB,Benzothiazepine derivatives,,,,,1970-01-01,2099-12-31,
2911,C08DB01,diltiazem,0.24,g,O,,1970-01-01,2099-12-31,
2912,C08E,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,,,,,1970-01-01,2099-12-31,
2913,C08EA,Phenylalkylamine derivatives,,,,,1970-01-01,2099-12-31,
2914,C08EA01,fendiline,,,,,1970-01-01,2099-12-31,
2915,C08EA02,bepridil,0.3,g,O,,1970-01-01,2099-12-31,
2916,C08EX,Other non-selective calcium channel blockers,,,,,1970-01-01,2099-12-31,
2917,C08EX01,lidoflazine,0.18,g,O,,1970-01-01,2099-12-31,
2918,C08EX02,perhexiline,0.2,g,O,,2021-02-19,2099-12-31,
2919,C08EX02,perhexiline,,,,,1970-01-01,2021-02-19,C
2920,C08G,CALCIUM CHANNEL BLOCKERS AND DIURETICS,,,,,1970-01-01,2099-12-31,
2921,C08GA,Calcium channel blockers and diuretics,,,,,1970-01-01,2099-12-31,
2922,C08GA01,nifedipine and diuretics,,,,,1970-01-01,2099-12-31,
2923,C08GA02,amlodipine and diuretics,,,,,2013-08-05,2099-12-31,
2924,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,,,,,1970-01-01,2099-12-31,
2925,C09A,"ACE INHIBITORS, PLAIN",,,,,1970-01-01,2099-12-31,
2926,C09AA,"Ace inhibitors, plain",,,,,1970-01-01,2099-12-31,
2927,C09AA01,captopril,50,mg,O,,1970-01-01,2099-12-31,
2928,C09AA02,enalapril,10,mg,O,,1970-01-01,2099-12-31,
2929,C09AA02,enalapril,10,mg,P,,1970-01-01,2099-12-31,
2930,C09AA03,lisinopril,10,mg,O,,1970-01-01,2099-12-31,
2931,C09AA04,perindopril,4,mg,O,,1970-01-01,2099-12-31,
2932,C09AA05,ramipril,2.5,mg,O,,1970-01-01,2099-12-31,
2933,C09AA06,quinapril,15,mg,O,,1970-01-01,2099-12-31,
2934,C09AA06,quinapril,15,mg,P,,1970-01-01,2099-12-31,
2935,C09AA07,benazepril,7.5,mg,O,,1970-01-01,2099-12-31,
2936,C09AA08,cilazapril,2.5,mg,O,,1970-01-01,2099-12-31,
2937,C09AA09,fosinopril,15,mg,O,,1970-01-01,2099-12-31,
2938,C09AA10,trandolapril,2,mg,O,,1970-01-01,2099-12-31,
2939,C09AA11,spirapril,6,mg,O,,1970-01-01,2099-12-31,
2940,C09AA12,delapril,30,mg,O,,1970-01-01,2099-12-31,
2941,C09AA13,moexipril,15,mg,O,,1970-01-01,2099-12-31,
2942,C09AA14,temocapril,10,mg,O,,1970-01-01,2099-12-31,
2943,C09AA15,zofenopril,30,mg,O,,1970-01-01,2099-12-31,
2944,C09AA16,imidapril,10,mg,O,,1970-01-01,2099-12-31,
2945,C09B,"ACE INHIBITORS, COMBINATIONS",,,,,1970-01-01,2099-12-31,
2946,C09BA,Ace inhibitors and diuretics,,,,,1970-01-01,2099-12-31,
2947,C09BA01,captopril and diuretics,,,,,1970-01-01,2099-12-31,
2948,C09BA02,enalapril and diuretics,,,,,1970-01-01,2099-12-31,
2949,C09BA03,lisinopril and diuretics,,,,,1970-01-01,2099-12-31,
2950,C09BA04,perindopril and diuretics,,,,,1970-01-01,2099-12-31,
2951,C09BA05,ramipril and diuretics,,,,,1970-01-01,2099-12-31,
2952,C09BA06,quinapril and diuretics,,,,,1970-01-01,2099-12-31,
2953,C09BA07,benazepril and diuretics,,,,,1970-01-01,2099-12-31,
2954,C09BA08,cilazapril and diuretics,,,,,1970-01-01,2099-12-31,
2955,C09BA09,fosinopril and diuretics,,,,,1970-01-01,2099-12-31,
2956,C09BA12,delapril and diuretics,,,,,1970-01-01,2099-12-31,
2957,C09BA13,moexipril and diuretics,,,,,1970-01-01,2099-12-31,
2958,C09BA15,zofenopril and diuretics,,,,,1970-01-01,2099-12-31,
2959,C09BB,Ace inhibitors and calcium channel blockers,,,,,1970-01-01,2099-12-31,
2960,C09BB02,enalapril and lercanidipine,,,,,1970-01-01,2099-12-31,
2961,C09BB03,lisinopril and amlodipine,,,,,1970-01-01,2099-12-31,
2962,C09BB04,perindopril and amlodipine,,,,,1970-01-01,2099-12-31,
2963,C09BB05,ramipril and felodipine,,,,,1970-01-01,2099-12-31,
2964,C09BB06,enalapril and nitrendipine,,,,,1970-01-01,2099-12-31,
2965,C09BB07,ramipril and amlodipine,,,,,1970-01-01,2099-12-31,
2966,C09BB10,trandolapril and verapamil,,,,,1970-01-01,2099-12-31,
2967,C09BB12,delapril and manidipine,,,,,1970-01-01,2099-12-31,
2968,C09BX,"Ace inhibitors, other combinations",,,,,2013-08-05,2099-12-31,
2969,C09BX01,"perindopril, amlodipine and indapamide",,,,,2013-08-05,2099-12-31,
2970,C09BX02,perindopril and bisoprolol,,,,,2016-05-02,2099-12-31,
2971,C09BX03,"ramipril, amlodipine and hydrochlorothiazide",,,,,2018-02-05,2099-12-31,
2972,C09BX04,"perindopril, bisoprolol and amlodipine",,,,,2020-05-04,2099-12-31,
2973,C09BX05,ramipril and bisoprolol,,,,,2021-02-22,2099-12-31,
2974,C09C,"ANGIOTENSIN II ANTAGONISTS, PLAIN",,,,,1970-01-01,2099-12-31,
2975,C09CA,"Angiotensin ii antagonists, plain",,,,,1970-01-01,2099-12-31,
2976,C09CA01,losartan,50,mg,O,,1970-01-01,2099-12-31,
2977,C09CA02,eprosartan,0.6,g,O,,1970-01-01,2099-12-31,
2978,C09CA03,valsartan,80,mg,O,,1970-01-01,2099-12-31,
2979,C09CA04,irbesartan,0.15,g,O,,1970-01-01,2099-12-31,
2980,C09CA05,tasosartan,,,,,1970-01-01,2099-12-31,
2981,C09CA06,candesartan,8,mg,O,,1970-01-01,2099-12-31,
2982,C09CA07,telmisartan,40,mg,O,,1970-01-01,2099-12-31,
2983,C09CA08,olmesartan medoxomil,20,mg,O,,1970-01-01,2099-12-31,
2984,C09CA09,azilsartan medoxomil,40,mg,O,,1970-01-01,2099-12-31,
2985,C09CA10,fimasartan,60,mg,O,,2015-03-02,2099-12-31,
2986,C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",,,,,1970-01-01,2099-12-31,
2987,C09DA,Angiotensin ii antagonists and diuretics,,,,,1970-01-01,2099-12-31,
2988,C09DA01,losartan and diuretics,,,,,1970-01-01,2099-12-31,
2989,C09DA02,eprosartan and diuretics,,,,,1970-01-01,2099-12-31,
2990,C09DA03,valsartan and diuretics,,,,,1970-01-01,2099-12-31,
2991,C09DA04,irbesartan and diuretics,,,,,1970-01-01,2099-12-31,
2992,C09DA06,candesartan and diuretics,,,,,1970-01-01,2099-12-31,
2993,C09DA07,telmisartan and diuretics,,,,,1970-01-01,2099-12-31,
2994,C09DA08,olmesartan medoxomil and diuretics,,,,,1970-01-01,2099-12-31,
2995,C09DA09,azilsartan medoxomil and diuretics,,,,,2015-03-02,2099-12-31,
2996,C09DA10,fimasartan and diuretics,,,,,2018-02-05,2099-12-31,
2997,C09DB,Angiotensin ii antagonists and calcium channel blockers,,,,,1970-01-01,2099-12-31,
2998,C09DB01,valsartan and amlodipine,,,,,1970-01-01,2099-12-31,
2999,C09DB02,olmesartan medoxomil and amlodipine,,,,,1970-01-01,2099-12-31,
3000,C09DB04,telmisartan and amlodipine,,,,,1970-01-01,2099-12-31,
3001,C09DB05,irbesartan and amlodipine,,,,,1970-01-01,2099-12-31,
3002,C09DB06,losartan and amlodipine,,,,,1970-01-01,2099-12-31,
3003,C09DB07,candesartan and amlodipine,,,,,2013-08-05,2099-12-31,
3004,C09DB08,valsartan and lercanidipine,,,,,2016-05-02,2099-12-31,
3005,C09DB09,fimasartan and amlodipine,,,,,2020-05-04,2099-12-31,
3006,C09DX,"Angiotensin ii antagonists, other combinations",,,,,1970-01-01,2099-12-31,
3007,C09DX01,"valsartan, amlodipine and hydrochlorothiazide",,,,,1970-01-01,2099-12-31,
3008,C09DX02,valsartan and aliskiren,,,,,1970-01-01,2099-12-31,
3009,C09DX03,"olmesartan medoxomil, amlodipine and hydrochlorothiazide",,,,,1970-01-01,2099-12-31,
3010,C09DX04,valsartan and sacubitril,,,,,2016-05-02,2099-12-31,
3011,C09DX05,valsartan and nebivolol,,,,,2020-05-04,2099-12-31,
3012,C09DX06,"candesartan, amlodipine and hydrochlorothiazide",,,,,2020-05-04,2099-12-31,
3013,C09DX07,"irbesartan, amlodipine and hydrochlorothiazide",,,,,2020-05-04,2099-12-31,
3014,C09X,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,,,,,1970-01-01,2099-12-31,
3015,C09XA,Renin-inhibitors,,,,,1970-01-01,2099-12-31,
3016,C09XA01,remikiren,,,,,1970-01-01,2099-12-31,
3017,C09XA02,aliskiren,0.15,g,O,,1970-01-01,2099-12-31,
3018,C09XA52,aliskiren and hydrochlorothiazide,,,,,1970-01-01,2099-12-31,
3019,C09XA53,aliskiren and amlodipine,,,,,1970-01-01,2099-12-31,
3020,C09XA54,"aliskiren, amlodipine and hydrochlorothiazide",,,,,1970-01-01,2099-12-31,
3021,C10,LIPID MODIFYING AGENTS,,,,,1970-01-01,2099-12-31,
3022,C10A,"LIPID MODIFYING AGENTS, PLAIN",,,,,1970-01-01,2099-12-31,
3023,C10AA,Hmg coa reductase inhibitors,,,,,1970-01-01,2099-12-31,
3024,C10AA01,simvastatin,15,mg,O,DDD from ATC website|,1970-01-01,2009-01-01,C
3025,C10AA01,simvastatin,30,mg,O,,2009-01-01,2099-12-31,
3026,C10AA02,lovastatin,30,mg,O,DDD from ATC website|,1970-01-01,2009-01-01,C
3027,C10AA02,lovastatin,45,mg,O,,2009-01-01,2099-12-31,
3028,C10AA03,pravastatin,20,mg,O,DDD from ATC website|,1970-01-01,2009-01-01,C
3029,C10AA03,pravastatin,30,mg,O,,2009-01-01,2099-12-31,
3030,C10AA04,fluvastatin,40,mg,O,DDD from ATC website|,1970-01-01,2009-01-01,C
3031,C10AA04,fluvastatin,60,mg,O,,2009-01-01,2099-12-31,
3032,C10AA05,atorvastatin,10,mg,O,DDD from ATC website|,1970-01-01,2009-01-01,C
3033,C10AA05,atorvastatin,20,mg,O,,2009-01-01,2099-12-31,
3034,C10AA06,cerivastatin,0.2,mg,O,,1970-01-01,2099-12-31,
3035,C10AA07,rosuvastatin,10,mg,O,,1970-01-01,2099-12-31,
3036,C10AA08,pitavastatin,2,mg,O,,1970-01-01,2099-12-31,
3037,C10AA51,"simvastatin, combinations",,,,from ATC website|,1970-01-01,2006-12-31,U
3038,C10AA52,"lovastatin, combinations",,,,from ATC website|,1970-01-01,2006-12-31,U
3039,C10AA53,"pravastatin, combinations",,,,from ATC website|,1970-01-01,2006-12-31,U
3040,C10AA55,"atorvastatin, combinations",,,,from ATC website|,1970-01-01,2006-12-31,U
3041,C10AB,Fibrates,,,,,1970-01-01,2099-12-31,
3042,C10AB01,clofibrate,2,g,O,,1970-01-01,2099-12-31,
3043,C10AB02,bezafibrate,0.6,g,O,,1970-01-01,2099-12-31,
3044,C10AB03,aluminium clofibrate,,,,,1970-01-01,2099-12-31,
3045,C10AB04,gemfibrozil,1.2,g,O,,1970-01-01,2099-12-31,
3046,C10AB05,fenofibrate,0.2,g,O,micronised,1970-01-01,2099-12-31,
3047,C10AB06,simfibrate,,,,,1970-01-01,2099-12-31,
3048,C10AB07,ronifibrate,,,,,1970-01-01,2099-12-31,
3049,C10AB08,ciprofibrate,0.1,g,O,,1970-01-01,2099-12-31,
3050,C10AB09,etofibrate,,,,,1970-01-01,2099-12-31,
3051,C10AB10,clofibride,,,,,1970-01-01,2099-12-31,
3052,C10AB11,choline fenofibrate,0.135,g,O,Refers to fenofibric acid,1970-01-01,2099-12-31,
3053,C10AC,Bile acid sequestrants,,,,,1970-01-01,2099-12-31,
3054,C10AC01,colestyramine,14,g,O,,1970-01-01,2099-12-31,
3055,C10AC02,colestipol,20,g,O,,1970-01-01,2099-12-31,
3056,C10AC03,colextran,,,,,1970-01-01,2099-12-31,
3057,C10AC04,colesevelam,3.75,g,O,,1970-01-01,2099-12-31,
3058,C10AD,Nicotinic acid and derivatives,,,,,1970-01-01,2099-12-31,
3059,C10AD01,niceritrol,1.5,g,O,,1970-01-01,2099-12-31,
3060,C10AD02,nicotinic acid,2,g,O,,1970-01-01,2099-12-31,
3061,C10AD03,nicofuranose,,,,,1970-01-01,2099-12-31,
3062,C10AD04,aluminium nicotinate,,,,,1970-01-01,2099-12-31,
3063,C10AD05,nicotinyl alcohol (pyridylcarbinol),0.9,g,O,,1970-01-01,2099-12-31,
3064,C10AD06,acipimox,0.5,g,O,,1970-01-01,2099-12-31,
3065,C10AD52,"nicotinic acid, combinations",,,,,1970-01-01,2099-12-31,
3066,C10AX,Other lipid modifying agents,,,,,1970-01-01,2099-12-31,
3067,C10AX01,dextrothyroxine,4,mg,O,,1970-01-01,2099-12-31,
3068,C10AX02,probucol,,,,,1970-01-01,2099-12-31,
3069,C10AX03,tiadenol,,,,,1970-01-01,2099-12-31,
3070,C10AX04,benfluorex,,,,from ATC website|,1970-01-01,2009-12-31,U
3071,C10AX05,meglutol,,,,,1970-01-01,2099-12-31,
3072,C10AX06,omega-3-triglycerides incl. other esters and acids,,,,,1970-01-01,2099-12-31,
3073,C10AX07,magnesium pyridoxal 5-phosphate glutamate,,,,,1970-01-01,2099-12-31,
3074,C10AX08,policosanol,,,,,1970-01-01,2099-12-31,
3075,C10AX09,ezetimibe,10,mg,O,,1970-01-01,2099-12-31,
3076,C10AX10,alipogene tiparvovec,,,,,1970-01-01,2099-12-31,
3077,C10AX11,mipomersen,,,,,1970-01-01,2099-12-31,
3078,C10AX12,lomitapide,40,mg,O,,2013-08-05,2099-12-31,
3079,C10AX13,evolocumab,10,mg,P,,2015-03-02,2099-12-31,
3080,C10AX14,alirocumab,5.4,mg,P,,2017-08-07,2099-12-31,
3081,C10AX15,bempedoic acid,,,,,2020-05-04,2099-12-31,
3082,C10AX16,inclisiran,,,,,2021-02-22,2099-12-31,
3083,C10AX17,evinacumab,,,,,2021-02-22,2099-12-31,
3084,C10AX18,volanesorsen,,,,,2021-02-22,2099-12-31,
